line	arabic	english	normalized
3	الفُصْحَى	formal, written (classical) Arabic	الفصحى
8	واللهِ	really?	والله
9	الأُمَم المُتَّحِدَة	United Nations	الامم المتحدة
11	جِنْسِيَّة	nationality	جنسية
27	وَالِد	father	والد
28	وَالِدِي	my father	والدي
29	وَالِدَة	mother	والدة
30	وَالِدَتِي	my mother	والدتي
46	الشَرْق الأَوْسَط	the Middle East	الشرق الاوسط
48	العَمَل الشُّغْل	work	العمل الشغل
49	غَدًا	tomorrow	غدا
50	فِعْلًا	really!, truly	فعلا
51	القُبُول	admission	القبول
52	يَتَكَلَّم عَن	he talks about, he speaks, talks	يتكلم عن
58	وَحِيد / ة	only; lonely (adjective)	وحيد / ة
67	جَدّ ج. أَجداد	grandfather	جد ج  اجداد
70	الحُقوق	law (as a field of study)	الحقوق
75	زَوج ج. أَزواج	husband	زوج ج  ازواج
77	مُتَزَوِّج/ة ج. -ون/ين	married (adj.)	متزوج/ة ج  -ون/ين
82	عِلم ج. عُلوم	science	علم ج  علوم
83	العُلوم السِّياسِيَّة	political science	العلوم السياسية
88	قَريب ج. أقارِب	relative	قريب ج  اقارب
108	شُورْبة	soup	شوربة
109	صَديق ج أَصْدِقاء	friend (masc.)	صديق ج اصدقاء
113	فَرْد / أَفْراد	individual, person	فرد / افراد
123	مِن أَصْل + النسبة	of ________descent	من اصل + النسبة
127	الجَوّ \ الطَّقْس	weather (atmosphere)	الجو \ الطقس
136	الرُّطوبة	humidity	الرطوبة
137	الاِزْدِحام	crowding, crowdedness	الازدحام
140	يَشعُر ﺑِ	he feels, he has feelings of...	يشعر ﺑ
151	بِالنِّسْبة لِــ	as far as __________ is concerned	بالنسبة ل
152	الوِحْدة	loneliness	الوحدة
154	بَعْدَ ذ'لِكَ	after that	بعد ذ'لك
155	التِّجارة	commerce, trade	التجارة
156	الجَري	running	الجري
157	يَحصُل على	he obtains, acquires (a job, degree)	يحصل على
163	إِدارة الأعْمال	business administration	ادارة الاعمال
169	سَنَتانِ، سَنَتَيْنِ	two years	سنتان، سنتين
170	شَرِكة ج.-ات	company	شركة ج -ات
172	مُعيد ج.-ون/ين	graduate fellow, teaching assistant	معيد ج -ون/ين
173	كُرة السَّلّة	basketball	كرة السلة
175	ﻟِ	in order to, for (the purpose of)	ﻟ
177	لِذ'لِك	because of that, for that reason	لذ'لك
185	ثانَويّ / ة	secondary	ثانوي / ة
186	مَجنون/ة - ج - مَجانين	crazy	مجنون/ة - ج - مجانين
187	حادِث - ج - حَوادِث	accident	حادث - ج - حوادث
188	مُحْزِن/ة	saddening, distressing	محزن/ة
189	الخارِجِيّة	foreign affairs	الخارجية
190	رَحَمَها الله	May God rest her soul	رحمها الله
193	إعدادِيّ/ة	preparatory (middle school)	اعدادي/ة
195	يَعيس	to live	يعيس
202	وِزارة - ج - وِزارات	ministry	وزارة - ج - وزارات
203	أُمّ ج. أُمَّهات	mother	ام ج  امهات
205	حَصَلْتُ على	I obtained	حصلت على
206	حُكومة ج. – حُكومات	government	حكومة ج  – حكومات
210	دُوَليّ/ة ، دَوليّ/ة	international	دولي/ة ، دولي/ة
211	يُذاكِر المُذاكَرة	to study go over material review lessons	يذاكر المذاكرة
228	نَجَحتُ في	I suceeded in passed	نجحت في
230	آخَر مؤنث: أُخرى آخَرون	Other	اخر مؤنث  اخرى اخرون
238	حَوالَيْ	Around about	حوالي
241	دَخَّنَ يُدَخِّن التَّدخين	to smoke	دخن يدخن التدخين
243	الشَّطَرَنْج	chess	الشطرنج
249	عادَ يَعود العَوْدة	to return	عاد يعود العودة
255	نَزَلَ يَنْزِل النُّزول	to descend; stay	نزل ينزل النزول
257	مَوضوع؛ مَواضيع /موضوعات	subject, topic	موضوع  مواضيع /موضوعات
262	جامِع جَوامِع	Mosque	جامع جوامع
264	مُرَتَّب مُرَتَّبات	Salary	مرتب مرتبات
266	بِسُرْعة	Quickly in a hurry	بسرعة
267	سَهِرَ يَسهَر السَّهَر	To stay up late (he stayed up late)	سهر يسهر السهر
268	أَصبَحَ يُصبِح	To become (he became)	اصبح يصبح
269	صَحا	To wake up (he woke up)	صحا
270	بِصَراحة	Frankly honestly	بصراحة
279	لَيلة ليالي لّيالٍ	(a) night	ليلة ليالي ليال
281	اِستَمْتَع يَستَمْتِع الاِستِمْتاع	To enjoy (he enjoyed)	استمتع يستمتع الاستمتاع
284	مَلِك مُلوك	King	ملك ملوك
292	تَبَادَلَ يَتَبادَل التَّبادُل	to exchange (news, opinions, etc.)	تبادل يتبادل التبادل
299	خُطِبَت لـِ	she got engaged to	خطبت ل
303	عِدّة	several	عدة
311	اِنْقَطَعَ يَنْقَطَع الاِنْقِطاع	to be cut off	انقطع ينقطع الانقطاع
315	مُهَنْدِس ج. -ون/ين	engineer	مهندس ج  -ون/ين
318	جَميعاً	All together	جميعا
323	بِالإضافة إلى	In addition to	بالاضافة الى
325	عُطلة ج عُطَل	Holiday, vacation (official)	عطلة ج عطل
327	عُيَّنْتُ	I was appointed	عينت
334	مِنْحة ج مِنَح	Scholarship award, grant, fellowship	منحة ج منح
337	وَفاة	مَوت	وفاة
338	أَخيراً	finally, at last	اخيرا
341	مَجَلَّة مَجَلّات	magazine, journal	مجلة مجلات
342	حُلْم أَحلام	dream	حلم احلام
345	مازالَ (مازِلْتُ)	continues to, is still	مازال (مازلت)
349	يَعني	it means	يعني
350	الغُربة	longing for one's native land; feeling of being a stranger; homesickness	الغربة
358	مَقالة	article (e.g., in a newspaper)	مقالة
359	كَذلِكَ	likewise, also	كذلك
363	لم أجد = ما وَجَدتُ	I did not find	لم اجد = ما وجدت
364	وَظيفة وَظائِف	position, job	وظيفة وظائف
